title_product_a,title_product_b,manufacturer_a,manufacturer_b,product_a_barcode,product_b_barcode,m_source_id,c_source_id
"STREPSILS Vitamin C, 1,2mg/0,6mg/100mg, kietosios pastilės, N24","NORDICS burnos skalavimo skystis PARODENT, 300 ml",STREPSILS,nordics,500015810160,3800500324548,500015810160,21579
"ILON ABSZESS-SALBE, 25 g, Tepalas, N1","LA ROCHE POSAY drėkinamasis veido kremas TOLERIANE ROSALIAC UV, SPF30, 50 ml",KITA,la-roche-posay,000007484797,3337875806961,015285,21213
"AVENE drėkinamasis veido kremas TOLERANCE HYDRA-10, 40 ml","AVENE drėkinamasis kremas jautriai odai TOLERANCE HYDRA-10, 40 ml",AVENE,avene,3282770388336,3282770388336,219711,22965
"SENI SOFT vienkartiniai paklotai SUPER, 60 x 60 cm, 30 vnt.","SENI paklotai Soft Super, 60 cm x 60 cm, 30 vnt.",SENI SOFT,seni,5900516691288,5900516691288,211878,16970
"BABYONO įdėklai į liemenėlę COMFORT, 140 vnt.","BABYONO įklotai į liemenėlę COMFORT, 140 vnt., 296/140",BABYONO,babyono,5901435408681,5901435408681,590143540868,19652
"LANSINOH kremas speneliams su lanolinu, 40 ml","LANSINOH lanolino kremas speneliams, 40 ml",LANSINOH,lansinoh,5060062996104,5060062996104,506006299610,19957
"BELLA MEDICA drėgnos servetėlės intymiai higienai, 20 vnt.","CORDISOL, 60 kaps.",BELLA,aconitum,5900516420789,4771316305429,590051642078,22066
"MULTI-B STRONG, 30 tablečių","MULTI- B STRONG, 30 vnt.",VITABALANS,vitabalans,6410530085868,6410530085868,043605,22248
"VICHY rutulinis dezodorantas antiperspirantas 48 H, 50 ml","VICHY rutulinis dezodorantas antiperspirantas nepaliekantis žymių, 50 ml",VICHY,vichy,3337871324599,3337871324599,333787132459,16165
"SOLPADEINE EXPRESS 500 mg/65 mg, Šnypščiosios tabletės, N16","PURESSENTIEL šampūnas nuo utėlių, 200 ml",SOLPADEINE,puressentiel,100000212706,3401340797839,212706,25184
"EUCERIN prausimosi aliejus atopinei odai ATOPICONTROL, nuo 3 mėn., 400 ml","EUCERIN valomasis aliejus itin sausai atopinei odai ATOPICONTROL, 400 ml",EUCERIN,eucerin,4005800213892,4005800213892,400580007492,15557
"LYSI natūralūs žuvų taukai, 240 ml","LYSI natūralus maisto papildas JECORIS OIL, 240 ml",LYSI,lysi,5690548854910,5690548854910,569054822010,22148
"EUCERIN akių srities kremas HYALURON-FILLER+ELASTICITY, SPF 20, 15 ml","EUCERIN akių srities kremas HYALURON-FILLER + ELASTICITY, SPF20, 15 ml",EUCERIN,eucerin,4005800256295,4005800256295,400580025629,17712
"HERBITASSIN gerklės pastilės su islandinėmis kerpenomis ir medumi, 12 pastilių","HERBITASSIN gerklės pastilės su islandine kerpena ir medumi ICELAND MOSS + HONEY, 12 vnt.",HERBITASSIN,herbitassin,5903031284430,5903031284430,590737713755,17030
"HYPNOZAN EXPRESS, 30 čiulpiamų tablečių","HYPNOZAN EXPRESS, 30 čiulpiamų tab.",HYPNOZAN,zan,7640153062192,7640153062192,764015306219,22906
"URIAGE veido kremas ROSELIANE, SPF 30, 40 ml","URIAGE apsauginis veido kremas ROSELIANE, SPF30, 40 ml",URIAGE,uriage,3661434005350,3661434005350,366143400535,18111
"NEW NORDIC stangrinamasis serumas NATURAL MAGIC, 30 ml","NEW NORDIC stangrinantis veido serumas NATURAL MAGIC FIRMING SERUM, 30 ml",NEW NORDIC,new-nordic,502180745395,5021807453955,502180745395,19672
"ŠVF žolelių arbata LAKIŠIŲ ŽOLĖ, 50 g","IMMUNOTROFINA D skystas maisto papildas, 180 ml",ŠVF,immunotrofina,4770161094069,8034125182015,477016109406,26187
"AKUKU kūdikių priežiūros rinkinys obuolio dėžutėje, pilka spalva, 1 vnt.+Dėklas su permatomu dangteliu, nagų žirklutės, nagų žnyplutės, nagų dildė, 2 pincetai.","AKUKU manikiūro rinkinys dėžutėje GREY, 1 vnt.",AKUKU,akuku,590764400473,5907644004737,590764400473,26207
"ROYAL GREEN vitaminas C CAMU CAMU 500 MG, 60 kapsulių","ROYAL GREEN vitaminas C CAMU CAMU, 500 mg, 60 kaps.",ROYAL GREEN,royal-green,8710267028144,8710267028144,871026702814,22948
"MICROLIFE automatinis riešinis kraujospūdžio matuoklis BP W1 BASIC, 1 vnt., 1 vnt.","MICROLIFE automatinis, riešinis kraujo spaudimo matuoklis BP W1 Basic",MICROLIFE,microlife,4719003330200,4719003330200,471900333020,16393
"AGETIS VERNALIN šaldančio ir šildančio poveikio kremas raumenims ir sąnariams, 100 g","AGETIS VERNALIN kremas, 100 g",VERNALIN,vernalin,5290931009523,5290931009523,529093100952,16691
"OLKO tinklelis tvarsčiui Nr. 3, 1 vnt.","Q+A gelinis veido šveitiklis su obuolių AHA rūgštimis, 75 ml",OLKO,q-a,4750376021814,5060486261888,475037602181,20575
"OLKO švirkštynė minkštu antgaliu NR. 1, 30 ml","AVENE intensyvaus poveikio naktinis veido kremas HYALURON ACTIVE B3, brandžiai odai, 40 ml",OLKO,avene,4779021091194,3282770153200,475083700022,20638
"PHARMACERIS A dezodorantas MINERAL-BIOTIC, nuo 12 m., 50 ml","PHARMACERIS dezodorantas jautriai odai A MINERAL BIOTIC,  50 ml",PHARMACERIS,pharmaceris,5900717160118,5900717160118,223814,21483
"RHINOLAYA INEBIOS Himalajų druskos nosies purškalas, 100 ml","RHINOLAYA nosies purškalas su himalajų druska, 100 ml",RHINOLAYA,rhinolaya,3700366000108,3700366000108,370036600010,15932
"SENI sauskelnės suaugusiesiems SUPER QUATRO, M dydis, 10 vnt.","SENI sauskelnės Super Quatro premium, M, 10 vnt.",SENI SUPER QUATRO,seni,100000205495,5900516692858,205495,17375
"DUREX prezervatyvai REALFEEL, 3 vnt.","DUREX prezervatyvai REAL FEEL, 3 vnt.",DUREX,durex,5038483866535,5038483866535,503848386653,17772
"PERSPI-ROCK dezodorantas (natūralus druskos kristalas), 60 g","PERSPI natūralus druskos kristalo dezodorantas ROCK, 60 g",PERSPI,perspi,5060169700031,5060169700031,506016970003,22880
"FILORGA atspalvį suteikiantis maitinamasis lūpų balzamas NUTRI FILLER, 4 ml","SVR kreminis drėkinamasis veido prausiklis SEBIACLEAR CREME LAVENTE, 200 ml",FILORGA,svr,3401360120075,3662361003365,340136012007,25254
"SIDERAL FORTE, 20 kapsulių","SIDERAL FORTE, 20 kaps.",SIDERAL,sideral,8033011160106,8033011160106,803301116007,16588
"TRIBUMEN, 30 kapsulių","TRIBUMEN, 350 mg, 30 kaps.",TRIBUMEN,tribumen,4779032970112,4779032970112,477903297011,15911
"LINOLA šampūnas, 200 ml","KORVALOOL tirpalas M, 25 ml",LINOLA,korvalool-m,4048882181840,4741200014775,0683565,26262
"LIVOL EXTRA IMBIERAS, 90 tablečių","LIVOL EXTRA imbieras, 90 vnt.",LIVOL,livol,5702076007659,5702076007659,570207600765,18137
"AGETIS DIAS DETOX, 60 kapsulių","AGETIS DIAS DETOX kapsulės, 60 vnt.",DIAS,dias,5290931016927,5290931016927,529093101692,18391
"NOREVA intensyvaus poveikio putojantis gelis EXFOLIAC, 200 ml","NOREVA putojantis gelis EXFOLIAC, 200 ml",NOREVA,noreva,3401547779324,3401547779324,340154777932,15723
"BLEND-A-DENT  protezų kremas PLUS DUO POWER, 1 vnt., 40 g","BLEND A DENT  kremas protezų tvirtinimui PLUS DUO PROTECTION, 40 g",BLEND-A-DENT,blend-a-dent,8001841900445,8001841900445,501132188396,16676
"SMART HIT IV CURCUMIN, 150 ml","SMARTHIT IV CURCUMIN, 150 ml",SMART HIT,smarthit,7640153061157,7640153061157,764015306115,17033
"JORDAN ypač minkštas dantų šepetėlis CLINIC EXPERT DEEP CLEAN, su dėklu, 1 vnt.","JORDAN dantų šepetėlis CLINIC EXPERT DEEP CLEAN su dėkliuku, 1 vnt.",JORDAN,jordan,7046110034484,7046110034484,704611003448,18179
"TENA sauskelnės FLEX MAXI, L dydis, 22 vnt.","TENA sauskelnės Flex Maxi, L, 22 vnt.",TENA,tena,7322541406411,7322540079296,732254007929,22278
"ABENA drėgnos servetėlės pakuotėje su dangteliu, bekvapės, 80 vnt.","NITENS dantų šepetėlis su anglimi SOFT, 1 vnt.",ABENA,nitens,5703538358753,8809099141630,570353822391,20795
"FILORGA intensyvus regeneruojamasis serumas NCEF-INTENSIVE, 30 ml","APIPHARMA inhaliatorius APIPOL, 1 vnt.",FILORGA,apipharma,3401360192249,3858882109017,340136019224,25255
"EUCERIN paakių kremas HYALURON-FILLER nuo raukšlių, SPF 15, 15 ml","NELATON kateteris CH10, vyrams, 1 vnt.",EUCERIN,nelaton,4005800025631,8695476015331,400580002563,26333
"A-DERMA minkštinamasis kūno losjonas-emolientas EXOMEGA CONTROL, nuo gimimo, 400 ml","A-DERMA veido ir kūno losjonas - emolientas sausai odai EXOMEGA CONTROL, 400 ml",A-DERMA,a-derma,3282770149746,3282770149746,328277903134,17435
"VICHY kremas kaklui ir veido kontūrams NEOVADIOL PHYTOSCULPT, 50 ml","VICHY veido ir kaklo kontūro kremas NEOVADIOL PHYTOSCULPT, 50 ml",VICHY,vichy,3337875647182,3337875647182,333787564718,17654
"AKUKU neišsiliejanti gertuvė su dviem rankenėlėmis, turkio spalva, nuo 6 mėn., 280 ml","AKUKU neišsiliejanti gertuvė su dviem rankenėlėmis TURQUOISE, 280 ml",AKUKU,akuku,590764400366,5907644003662,590764400366,20164
